pair_id,nb_classes_v1,nb_classes_v2,delta_classes,nb_added_classes,nb_removed_classes,nb_attributes_v1,nb_attributes_v2,delta_attributes,nb_added_attributes,nb_removed_attributes,nb_type_changes,nb_references_v1,nb_references_v2,delta_references,nb_added_references,nb_removed_references,nb_multiplicity_changes,nb_containment_changes,nb_abstract_changes,nb_supertype_changes,nsuri_changed,label
3DPrint__3DPrint_v1__to__3DPrint_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
3DPrint__3DPrint_v2__to__3DPrint_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
AeroEng__AeroEng_v1__to__AeroEng_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
AeroEng__AeroEng_v2__to__AeroEng_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
AgriFarm__AgriFarm_v1__to__AgriFarm_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
AgriFarm__AgriFarm_v2__to__AgriFarm_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
AirTraffic__AirTraffic_v1__to__AirTraffic_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
AirTraffic__AirTraffic_v2__to__AirTraffic_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
AR_VR__AR_VR_v1__to__AR_VR_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
AR_VR__AR_VR_v2__to__AR_VR_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
AutoDiag__AutoDiag_v1__to__AutoDiag_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
AutoDiag__AutoDiag_v2__to__AutoDiag_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
banking__banking_v1__to__banking_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
banking__banking_v2__to__banking_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
banking__banking_v3__to__banking_v4,4,4,0,4,4,12,18,6,0,0,0,4,3,-1,0,0,0,0,0,0,1,MIXED
bank__bank_v1__to__bank_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
bank__bank_v2__to__bank_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
BigData__BigData_v1__to__BigData_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
BigData__BigData_v2__to__BigData_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
BioMed__BioMed_v1__to__BioMed_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
BioMed__BioMed_v2__to__BioMed_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
BugTrack__BugTrack_v1__to__BugTrack_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
BugTrack__BugTrack_v2__to__BugTrack_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
BusIntel__BusIntel_v1__to__BusIntel_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
BusIntel__BusIntel_v2__to__BusIntel_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
CAD_CAM__CAD_CAM_v1__to__CAD_CAM_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
CAD_CAM__CAD_CAM_v2__to__CAD_CAM_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
ChatBot__ChatBot_v1__to__ChatBot_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
ChatBot__ChatBot_v2__to__ChatBot_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
ChemLab__ChemLab_v1__to__ChemLab_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
ChemLab__ChemLab_v2__to__ChemLab_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
CI_CD__CI_CD_v1__to__CI_CD_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
CI_CD__CI_CD_v2__to__CI_CD_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
clinic__clinic_v1__to__clinic_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
clinic__clinic_v2__to__clinic_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
CloudSec__CloudSec_v1__to__CloudSec_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
CloudSec__CloudSec_v2__to__CloudSec_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
company__company_v1__to__company_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
company__company_v2__to__company_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
CustRel__CustRel_v1__to__CustRel_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
CustRel__CustRel_v2__to__CustRel_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
DataGov__DataGov_v1__to__DataGov_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
DataGov__DataGov_v2__to__DataGov_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
DataWare__DataWare_v1__to__DataWare_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
DataWare__DataWare_v2__to__DataWare_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
data__data_v1__to__data_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
data__data_v2__to__data_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
DeplyPipe__DeplyPipe_v1__to__DeplyPipe_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
DeplyPipe__DeplyPipe_v2__to__DeplyPipe_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
DocMgmt__DocMgmt_v1__to__DocMgmt_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
DocMgmt__DocMgmt_v2__to__DocMgmt_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__3DPrint_v1__to__3DPrint_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__3DPrint_v2__to__3DPrint_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__AeroEng_v1__to__AeroEng_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__AeroEng_v2__to__AeroEng_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__AgriFarm_v1__to__AgriFarm_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__AgriFarm_v2__to__AgriFarm_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__AirTraffic_v1__to__AirTraffic_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__AirTraffic_v2__to__AirTraffic_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__AR_VR_v1__to__AR_VR_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__AR_VR_v2__to__AR_VR_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__AutoDiag_v1__to__AutoDiag_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__AutoDiag_v2__to__AutoDiag_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__banking_v1__to__banking_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__banking_v2__to__banking_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__banking_v3__to__banking_v4,4,4,0,4,4,12,18,6,0,0,0,4,3,-1,0,0,0,0,0,0,1,MIXED
domains__bank_v1__to__bank_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__bank_v2__to__bank_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__BigData_v1__to__BigData_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__BigData_v2__to__BigData_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__BioMed_v1__to__BioMed_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__BioMed_v2__to__BioMed_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__BugTrack_v1__to__BugTrack_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__BugTrack_v2__to__BugTrack_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__BusIntel_v1__to__BusIntel_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__BusIntel_v2__to__BusIntel_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__CAD_CAM_v1__to__CAD_CAM_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__CAD_CAM_v2__to__CAD_CAM_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__ChatBot_v1__to__ChatBot_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__ChatBot_v2__to__ChatBot_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__ChemLab_v1__to__ChemLab_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__ChemLab_v2__to__ChemLab_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__CI_CD_v1__to__CI_CD_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__CI_CD_v2__to__CI_CD_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__clinic_v1__to__clinic_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__clinic_v2__to__clinic_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__CloudSec_v1__to__CloudSec_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__CloudSec_v2__to__CloudSec_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__company_v1__to__company_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__company_v2__to__company_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__CustRel_v1__to__CustRel_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__CustRel_v2__to__CustRel_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__DataGov_v1__to__DataGov_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__DataGov_v2__to__DataGov_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__DataWare_v1__to__DataWare_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__DataWare_v2__to__DataWare_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__data_v1__to__data_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__data_v2__to__data_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__DeplyPipe_v1__to__DeplyPipe_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__DeplyPipe_v2__to__DeplyPipe_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__DocMgmt_v1__to__DocMgmt_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__DocMgmt_v2__to__DocMgmt_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__DroneNav_v1__to__DroneNav_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__DroneNav_v2__to__DroneNav_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__ecommerce_v1__to__ecommerce_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__ecommerce_v2__to__ecommerce_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__EduPlat_v1__to__EduPlat_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__EduPlat_v2__to__EduPlat_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__EnergyGrid_v1__to__EnergyGrid_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__EnergyGrid_v2__to__EnergyGrid_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__fleet_v1__to__fleet_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__fleet_v2__to__fleet_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__GameDev_v1__to__GameDev_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__GameDev_v2__to__GameDev_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__GraphDB_v1__to__GraphDB_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__GraphDB_v2__to__GraphDB_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__hospital_v1__to__hospital_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__hospital_v2__to__hospital_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__HRRecruit_v1__to__HRRecruit_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__HRRecruit_v2__to__HRRecruit_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__ImageProc_v1__to__ImageProc_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__ImageProc_v2__to__ImageProc_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__Insurance_v1__to__Insurance_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__Insurance_v2__to__Insurance_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__InvMgmt_v1__to__InvMgmt_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
domains__InvMgmt_v2__to__InvMgmt_v3,4,4,0,0,0,12,12,0,0,0,1,3,4,1,1,0,0,0,0,0,0,MIXED
domains__KnowBase_v1__to__KnowBase_v2,3,4,1,1,0,9,12,3,1,0,0,2,3,1,1,0,0,0,0,0,0,MIXED
